City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fort mcmurray,56.7268,-111.381,23.77,33,0,1.54,CA,1722820535
83,lebu,-37.6167,-73.65,10.25,92,100,13.27,CL,1722820104
84,arno,60.1167,18.6333,17.1,91,35,2.14,SE,1722820611
85,kourou,5.1552,-52.6478,27.03,84,80,3.61,GF,1722820612
86,bogotol,56.2078,89.5342,17.71,90,100,3.03,RU,1722820614
87,anadyr,64.75,177.4833,6.28,100,100,9.0,RU,1722820615
88,margaret river,-33.95,115.0667,15.93,78,98,6.85,AU,1722820616
89,rio gallegos,-51.6226,-69.2181,1.03,69,75,2.06,AR,1722820617
90,idri,27.5,13.2667,28.52,17,0,1.69,LY,1722820618
91,kingston,17.997,-76.7936,30.53,74,20,6.69,JM,1722820155
92,hammerfest,70.6634,23.6821,18.25,63,0,1.54,NO,1722820621
93,puerto ayora,-0.7393,-90.3518,20.31,94,49,0.89,EC,1722820622
94,gumushacikoy,40.8731,35.2147,14.18,52,3,0.94,TR,1722820624
95,bilibino,68.0546,166.4372,9.49,58,100,3.74,RU,1722820625
96,san antonio de pale,-1.4014,5.6325,22.19,70,83,2.87,GQ,1722820626
97,thompson,55.7435,-97.8558,19.52,36,8,3.98,CA,1722820121
98,gulu,2.7746,32.299,17.82,97,100,1.02,UG,1722820628
99,ugoofaaru,5.6667,73.0,27.68,78,100,4.12,MV,1722820629
100,hithadhoo,-0.6,73.0833,28.64,74,100,3.89,MV,1722820630
101,haiku-pauwela,20.9219,-156.3051,29.03,62,20,12.86,US,1722820631
102,knyaze-volkonskoye,48.4642,135.4567,23.19,73,100,3.76,RU,1722820633
103,acarau,-2.8856,-40.12,25.0,83,4,7.09,BR,1722820469
104,otofuke,42.9917,143.2003,20.53,88,75,1.03,JP,1722820635
105,nemuro,43.3236,145.575,15.43,100,100,3.67,JP,1722820411
106,chonchi,-42.6128,-73.8092,7.84,98,100,2.41,CL,1722820637
107,ushuaia,-54.8,-68.3,-1.19,69,75,3.6,AR,1722820628
108,vilyuchinsk,52.9306,158.4028,21.15,73,100,2.35,RU,1722820639
109,kapuskasing,49.4169,-82.4331,17.05,63,20,1.54,CA,1722820640
